factor,var,sdev,coef
add0.1,LWup,1.4946381174332943,0.984351405563356
add0.1,Qh,1.0899566950833894,0.9577609762122072
add0.1,Qle,0.576348144779418,0.6068914991948994
add0.1,Qtau,0.5298565038619093,0.8575736512876595
add0.2,LWup,1.4960366497544384,0.9843505378812287
add0.2,Qh,1.0928115578875832,0.957624557429895
add0.2,Qle,0.5817996261999057,0.6068441444819844
add0.2,Qtau,0.5304623412867856,0.8578318648006655
add0.4,LWup,1.4989545896654421,0.9843506294787674
add0.4,Qh,1.0985943431522405,0.9573188501855187
add0.4,Qle,0.5926425066308649,0.6066981845695929
add0.4,Qtau,0.5317132530768857,0.8583248021183746
add0.8,LWup,1.5046423719298225,0.9843101306764687
add0.8,Qh,1.1100591200897953,0.9566286837923721
add0.8,Qle,0.6147408063029572,0.6056497810106704
add0.8,Qtau,0.5344498473235806,0.8590841688451893
sub0.1,LWup,1.491908502725062,0.984351868849195
sub0.1,Qh,1.0842798332764543,0.9579974920924662
sub0.1,Qle,0.5654628756566918,0.6070171960048754
sub0.1,Qtau,0.5285349238451582,0.8570902134819653
sub0.2,LWup,1.4905628315175472,0.9843508921777214
sub0.2,Qh,1.0814431961579434,0.9580952844901318
sub0.2,Qle,0.5601134648657733,0.607081198586754
sub0.2,Qtau,0.5278388869870734,0.8568378643624638
sub0.4,LWup,1.4878964988711998,0.984345350307139
sub0.4,Qh,1.07576285993121,0.9582607994931475
sub0.4,Qle,0.5495809497536056,0.6072399158620865
sub0.4,Qtau,0.5264482412283804,0.8563005596027138
sub0.8,LWup,1.4826766143905767,0.9843199368440659
sub0.8,Qh,1.0644420721753738,0.9584654407673958
sub0.8,Qle,0.5290221803694891,0.6075804245828867
sub0.8,Qtau,0.5238212870806357,0.8550640437976813
traffic,LWup,1.4932651261294334,0.9843520707131089
traffic,Qh,1.0871143809825687,0.9578864942935222
traffic,Qle,0.5708939825887392,0.6069583586925494
traffic,Qtau,0.5292052877045827,0.8573356201944482
